Longitude;Latitude;Accuracy;Provider;1354378875238
Longitude;Latitude;Accuracy;Provider;1354378918869
Longitude;Latitude;Accuracy;Provider;1354379532620
13.1297002;52.3921006;20.091;network;1354379535959
13.1297331;52.3921204;22.234;network;1354379555858
13.1297235;52.3920907;20.0;network;1354379575865
13.1297403;52.392091;20.0;network;1354379595873
13.1297419;52.3921074;21.179;network;1354379615888
13.1297244;52.39211;21.189;network;1354379635897
13.1297365;52.392101;20.529;network;1354379655913
13.1297463;52.3921069;21.198;network;1354379675942
13.1297227;52.3921022;20.462;network;1354379695937
13.1297286;52.3920887;20.0;network;1354379715973
13.1297686;52.39209;20.084;network;1354379735960
13.1297548;52.3920732;20.0;network;1354379756016
13.1297447;52.3921133;21.748;network;1354379775981
13.1297439;52.3920995;20.501;network;1354379796038
13.1297428;52.3920868;20.0;network;1354379816008
13.1297141;52.3921053;20.649;network;1354379836108
13.129748;52.3920831;20.0;network;1354379856117
13.1297341;52.392123;22.481;network;1354379876171
13.1297534;52.3921155;26.105;network;1354379896188
13.1297762;52.3921039;24.63;network;1354379916160
13.1297408;52.3920796;20.0;network;1354379936162
Longitude;Latitude;Accuracy;Provider;1354381684325
13.1297912;52.3921231;20.763;network;1354381686025
Longitude;Latitude;Accuracy;Provider;1354383656599
13.129956;52.392101;60.426;network;1354383664894
13.1299238;52.3920987;61.491;network;1354383685015
13.1301931;52.392208;45.925;network;1354383704210
13.1294194;52.3955117;1196.0;network;1354383724293
13.1294194;52.3955117;1196.0;network;1354383744185
13.1294194;52.3955117;1196.0;network;1354383764293
13.1294194;52.3955117;1196.0;network;1354383784255
13.1294194;52.3955117;1196.0;network;1354383804254
13.1294194;52.3955117;1196.0;network;1354383824279
13.1294194;52.3955117;1196.0;network;1354383904301
13.1294194;52.3955117;1196.0;network;1354383924311
13.1294194;52.3955117;1196.0;network;1354383944319
13.1294194;52.3955117;1196.0;network;1354383964330
13.1294194;52.3955117;1196.0;network;1354383984334
13.1294194;52.3955117;1196.0;network;1354384004345
Longitude;Latitude;Accuracy;Provider;1354393890049
Longitude;Latitude;Accuracy;Provider;1354393963204
Longitude;Latitude;Accuracy;Provider;1354394126802
Longitude;Latitude;Accuracy;Provider;1354398720247
