Longitude;Latitude;Accuracy;Provider;1354884588630;Session
13.130236314609647;52.39240361843258;5.0;gps;1354617625000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130216198042035;52.39241778384894;5.0;gps;1354617626000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130170600488782;52.39241061732173;5.0;gps;1354617627000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.13014218583703;52.3924174066633;5.0;gps;1354617628000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130128439515829;52.39242377690971;5.0;gps;1354617629000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.1301109213382;52.39242658484727;5.0;gps;1354617630000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130094408988953;52.39243123680353;5.0;gps;1354617631000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130076304078102;52.39243337418884;5.0;gps;1354617632000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130056438967586;52.39243500865996;5.0;gps;1354617633000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.13003908842802;52.392435343936086;5.0;gps;1354617634000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130024587735534;52.39243132062256;5.0;gps;1354617635000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.130010925233364;52.392430901527405;5.0;gps;1354617636000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.129993407055736;52.39243102725595;5.0;gps;1354617637000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.12997605651617;52.3924293089658;5.0;gps;1354617638000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.129956191405654;52.39242872223258;5.0;gps;1354617639000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.129938840866089;52.392423399724066;5.0;gps;1354617640000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.129921574145555;52.39241686183959;5.0;gps;1354617641000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
13.129899613559246;52.39241112023592;5.0;gps;1354617642000;3f534c0b-ca73-4225-ac20-e326b3d1cb4f
