Longitude;Latitude;Accuracy;Provider;1354884814304;Session
13.129670536145568;52.39367775153369;5.0;gps;1354625117000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129926603287458;52.39358295220882;5.0;gps;1354625119000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129937583580613;52.39357310347259;10.0;gps;1354625120000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12994671985507;52.39357209764421;10.0;gps;1354625121000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129925262182951;52.393574570305645;15.0;gps;1354625122000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12987731769681;52.39356539212167;15.0;gps;1354625123000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129848735406995;52.393556968308985;10.0;gps;1354625124000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129823757335544;52.39355763886124;10.0;gps;1354625125000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129799785092473;52.39355759695172;10.0;gps;1354625126000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12978159636259;52.39355814177543;10.0;gps;1354625127000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12976399436593;52.3935580579564;10.0;gps;1354625128000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129751337692142;52.39356120117009;10.0;gps;1354625129000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129737423732877;52.393564051017165;10.0;gps;1354625130000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129725940525532;52.39356501493603;10.0;gps;1354625131000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129725940525532;52.39357331302017;10.0;gps;1354625132000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129719318822026;52.39357716869563;10.0;gps;1354625133000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12969844788313;52.3935770848766;10.0;gps;1354625134000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129674894735217;52.39357666578144;10.0;gps;1354625135000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129648324102163;52.393573271110654;10.0;gps;1354625136000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129627704620361;52.39357004407793;10.0;gps;1354625137000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129607923328876;52.39356664940715;10.0;gps;1354625138000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129585878923535;52.393561829812825;10.0;gps;1354625139000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12955922447145;52.39355793222785;10.0;gps;1354625140000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129513543099165;52.393544730730355;10.0;gps;1354625141000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129484541714191;52.3935440601781;10.0;gps;1354625142000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129481356590986;52.393544311635196;10.0;gps;1354625143000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129481691867113;52.3935406235978;10.0;gps;1354625144000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129471717402339;52.39353727083653;10.0;gps;1354625145000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129459982737899;52.39353584591299;10.0;gps;1354625146000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129449505358934;52.39353810902685;10.0;gps;1354625147000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129441374912858;52.39353701937944;10.0;gps;1354625148000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129436010494828;52.39353194832802;10.0;gps;1354625149000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129422850906849;52.39353102631867;10.0;gps;1354625150000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12941606156528;52.39352704491466;10.0;gps;1354625151000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129403656348586;52.39352633245289;10.0;gps;1354625152000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129391837865114;52.39352838601917;10.0;gps;1354625153000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129375576972961;52.39353048149496;10.0;gps;1354625154000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12935889698565;52.39353408571333;10.0;gps;1354625155000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129346743226051;52.393532702699304;10.0;gps;1354625156000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12933785840869;52.39352700300515;10.0;gps;1354625157000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12931933440268;52.39352365024388;10.0;gps;1354625158000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.1292993016541;52.39352616481483;10.0;gps;1354625159000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12928463332355;52.39352511707693;10.0;gps;1354625160000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129262253642082;52.393529852852225;10.0;gps;1354625161000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129241801798344;52.39353333134204;10.0;gps;1354625162000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129223696887493;52.39353333134204;10.0;gps;1354625163000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129210621118546;52.39353018812835;10.0;gps;1354625164000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129188073799014;52.393529056571424;10.0;gps;1354625165000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129157228395343;52.3935353429988;10.0;gps;1354625166000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129130573943257;52.393542719073594;10.0;gps;1354625167000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129104506224394;52.39354611374438;10.0;gps;1354625168000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129074163734913;52.39354577846825;10.0;gps;1354625169000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129043485969305;52.393546742387116;10.0;gps;1354625170000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129022279754281;52.39354477263987;10.0;gps;1354625171000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.129000570625067;52.393545107916;10.0;gps;1354625172000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128979112952948;52.39354611374438;10.0;gps;1354625173000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128954889252782;52.39354728721082;10.0;gps;1354625174000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.12893284484744;52.39354691002518;10.0;gps;1354625175000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128904346376657;52.39354611374438;10.0;gps;1354625176000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128879619762301;52.39354582037777;10.0;gps;1354625177000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128857994452119;52.39354561083019;10.0;gps;1354625178000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128838129341602;52.393546029925346;10.0;gps;1354625179000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128817845135927;52.39354582037777;10.0;gps;1354625180000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128801919519901;52.39354556892067;10.0;gps;1354625181000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128785323351622;52.39354519173503;10.0;gps;1354625182000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128768811002374;52.39354481454939;10.0;gps;1354625183000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
13.128751292824745;52.393542006611824;5.0;gps;1354625184000;ed8187c9-bb5c-4f55-8b06-3bd3d3b05b39
