Longitude;Latitude;Accuracy;Provider;1357769833760;Session
13.129895;52.3921044;23.16900062561035;network;1357641097605;a9445096-4599-49ab-a760-e2d8575f472c
13.1298588;52.3920888;20.68000030517578;network;1357641116237;a9445096-4599-49ab-a760-e2d8575f472c
13.132125595584512;52.39279262255877;5.0;gps;1357641267000;a9445096-4599-49ab-a760-e2d8575f472c
13.132157111540437;52.39278939552605;10.0;gps;1357641268000;a9445096-4599-49ab-a760-e2d8575f472c
13.132188627496362;52.39277778659016;10.0;gps;1357641269000;a9445096-4599-49ab-a760-e2d8575f472c
13.132210168987513;52.39277916960418;15.0;gps;1357641270000;a9445096-4599-49ab-a760-e2d8575f472c
13.132229363545775;52.392779253423214;15.0;gps;1357641271000;a9445096-4599-49ab-a760-e2d8575f472c
13.132241936400533;52.392782899551094;15.0;gps;1357641272000;a9445096-4599-49ab-a760-e2d8575f472c
13.132261298596859;52.39278256427497;15.0;gps;1357641273000;a9445096-4599-49ab-a760-e2d8575f472c
13.132281331345439;52.39278482738882;20.0;gps;1357641274000;a9445096-4599-49ab-a760-e2d8575f472c
13.132286109030247;52.39279962144792;20.0;gps;1357641275000;a9445096-4599-49ab-a760-e2d8575f472c
13.13229608349502;52.392806662246585;20.0;gps;1357641276000;a9445096-4599-49ab-a760-e2d8575f472c
13.132315278053284;52.39281215239316;20.0;gps;1357641277000;a9445096-4599-49ab-a760-e2d8575f472c
13.132327515631914;52.392823342233896;20.0;gps;1357641278000;a9445096-4599-49ab-a760-e2d8575f472c
13.132337154820561;52.392833274789155;20.0;gps;1357641279000;a9445096-4599-49ab-a760-e2d8575f472c
13.132345201447606;52.392839435487986;20.0;gps;1357641280000;a9445096-4599-49ab-a760-e2d8575f472c
13.13235861249268;52.392845721915364;20.0;gps;1357641281000;a9445096-4599-49ab-a760-e2d8575f472c
13.132368000224233;52.392859468236566;20.0;gps;1357641282000;a9445096-4599-49ab-a760-e2d8575f472c
13.132379902526736;52.392872921191156;20.0;gps;1357641283000;a9445096-4599-49ab-a760-e2d8575f472c
13.132392559200525;52.392884572036564;20.0;gps;1357641284000;a9445096-4599-49ab-a760-e2d8575f472c
13.13240454532206;52.39289785735309;20.0;gps;1357641285000;a9445096-4599-49ab-a760-e2d8575f472c
13.132418878376484;52.39290988538414;20.0;gps;1357641286000;a9445096-4599-49ab-a760-e2d8575f472c
13.132432037964463;52.39292145241052;20.0;gps;1357641287000;a9445096-4599-49ab-a760-e2d8575f472c
13.132443940266967;52.392931720241904;20.0;gps;1357641288000;a9445096-4599-49ab-a760-e2d8575f472c
