Longitude;Latitude;Accuracy;Provider;1354802702175;Session
13.1304518;52.3933199;36.0;network;1354543341168;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304518;52.3933199;36.0;network;1354543386206;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304479;52.3932873;37.0;network;1354543431190;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304479;52.3932873;37.0;network;1354543476202;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13043;52.3932589;29.0;network;1354543521239;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13043;52.3932589;29.0;network;1354543566273;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303792;52.3933075;25.0;network;1354543611260;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303792;52.3933075;25.0;network;1354543656252;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1301657;52.3934529;51.0;network;1354543701287;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1301657;52.3934529;51.0;network;1354543746282;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130299;52.3933747;60.0;network;1354543791299;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130299;52.3933747;60.0;network;1354543836318;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303612;52.3933292;65.0;network;1354543881323;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303612;52.3933292;65.0;network;1354543926588;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303762;52.3933073;66.0;network;1354543971341;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303762;52.3933073;66.0;network;1354544016418;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304737;52.3933074;30.0;network;1354544061450;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304737;52.3933074;30.0;network;1354544106440;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304712;52.3933105;33.0;network;1354544151493;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304712;52.3933105;33.0;network;1354544196483;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304535;52.3932999;31.0;network;1354544241516;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304535;52.3932999;31.0;network;1354544286488;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303832;52.3933571;65.0;network;1354544331559;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303832;52.3933571;65.0;network;1354544376539;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302764;52.3934111;58.0;network;1354544421586;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302764;52.3934111;58.0;network;1354544466563;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302339;52.3934177;55.0;network;1354544511569;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302339;52.3934177;55.0;network;1354544556572;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302962;52.3933831;60.0;network;1354544601585;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302962;52.3933831;60.0;network;1354544646587;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302124;52.3934376;53.0;network;1354544691605;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302124;52.3934376;53.0;network;1354544736595;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302824;52.3933949;58.0;network;1354544781625;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302824;52.3933949;58.0;network;1354544826611;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303399;52.3933384;63.0;network;1354544871636;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303399;52.3933384;63.0;network;1354544916652;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303022;52.3933991;59.0;network;1354544961661;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303022;52.3933991;59.0;network;1354545006658;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302448;52.3934092;56.0;network;1354545051685;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1302448;52.3934092;56.0;network;1354545096714;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303084;52.3933422;62.0;network;1354545141708;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303084;52.3933422;62.0;network;1354545186700;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303519;52.3933138;65.0;network;1354545231699;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303519;52.3933138;65.0;network;1354545276699;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303663;52.3933143;66.0;network;1354545321706;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303663;52.3933143;66.0;network;1354545366728;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304134;52.3933228;26.0;network;1354545411720;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1304134;52.3933228;26.0;network;1354545456718;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303677;52.3933276;65.0;network;1354545501858;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303677;52.3933276;65.0;network;1354545546849;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303613;52.3933063;66.0;network;1354545591877;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303613;52.3933063;66.0;network;1354545636879;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1303513;52.3933234;65.0;network;1354545681900;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
